"","pclass","survived","sex","age","sibsp","parch","fare","embarked","title","solo"
"204","3rd",0,"female",37.3529411764706,1,9,69.5500031,"Southampton","Mr",0
"208","3rd",0,"male",29.0053285968028,2,0,21.6791992,"Cherbourg","Mr",0
"209","3rd",0,"male",29.0053285968028,2,0,21.6791992,"Cherbourg","Mr",0
"210","3rd",0,"male",29.0053285968028,2,0,21.6791992,"Cherbourg","Miss",0
"213","1st",0,"male",39.1599179577676,0,0,26.5499992,"Southampton","Dr",1
"218","3rd",0,"male",29.0053285968028,0,0,7.7249999,"Queenstown","Mr",1
"219","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"220","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"222","3rd",0,"male",29.0053285968028,0,0,15.1000004,"Southampton","Miss",1
"223","3rd",1,"female",29.0053285968028,0,0,7.77920008,"Queenstown","Mr",1
"226","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"227","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"229","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"240","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"241","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"242","3rd",0,"male",29.0053285968028,0,0,8.66250038,"Southampton","Mr",1
"243","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"244","3rd",1,"female",29.0053285968028,0,0,7.73330021,"Queenstown","Mr",1
"247","1st",1,"female",39.1599179577676,1,0,133.649994,"Southampton","Miss",0
"248","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"250","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"272","3rd",0,"male",29.0053285968028,1,0,6.4375,"Cherbourg","Mr",0
"273","3rd",0,"male",29.0053285968028,0,0,6.4375,"Cherbourg","Mr",1
"274","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Mrs",1
"276","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"277","3rd",0,"male",29.0053285968028,1,0,16.1000004,"Southampton","Mrs",0
"278","3rd",1,"female",29.0053285968028,1,0,16.1000004,"Southampton","Mr",0
"281","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"282","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"285","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"287","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Master",1
"291","1st",0,"male",39.1599179577676,0,0,0,"Southampton","Mr",1
"295","3rd",0,"male",17.3494475138122,1,1,14.5,"Southampton","Master",0
"301","3rd",0,"male",29.0053285968028,0,0,9.5,"Southampton","Mr",1
"317","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"318","3rd",0,"male",29.0053285968028,0,0,7.55000019,"Southampton","Mr",1
"319","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"327","3rd",0,"male",29.0053285968028,0,0,8.71249962,"Southampton","Mr",1
"328","3rd",0,"male",29.0053285968028,0,0,7.55000019,"Southampton","Mr",1
"329","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"333","3rd",0,"male",29.0053285968028,0,0,7.25,"Southampton","Mr",1
"340","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Mr",1
"341","3rd",0,"male",29.0053285968028,0,0,14.4582996,"Cherbourg","Miss",1
"343","3rd",0,"female",29.0053285968028,1,0,14.4541998,"Cherbourg","Mr",0
"351","1st",1,"female",39.1599179577676,1,0,89.1042023,"Cherbourg","Mr",0
"365","1st",0,"male",39.1599179577676,0,0,42.4000015,"Southampton","Mr",1
"371","1st",1,"male",39.1599179577676,0,0,30,"Southampton","Miss",1
"376","1st",0,"male",39.1599179577676,0,0,51.8624992,"Southampton","Mr",1
"378","1st",0,"male",39.1599179577676,0,0,25.9249992,"Southampton","Mr",1
"386","1st",0,"male",39.1599179577676,0,0,30.6958008,"Cherbourg","Mrs",1
"397","1st",1,"female",39.1599179577676,1,0,51.8624992,"Southampton","Mr",0
"401","1st",0,"male",39.1599179577676,0,0,26.5499992,"Southampton","Miss",1
"406","1st",0,"male",39.1599179577676,0,0,27.7208004,"Cherbourg","Mr",1
"419","1st",1,"male",39.1599179577676,0,0,29.7000008,"Cherbourg","Mr",1
"429","1st",1,"female",39.1599179577676,1,0,82.1707993,"Cherbourg","Mr",0
"446","1st",1,"male",39.1599179577676,0,0,25.7416992,"Cherbourg","Miss",1
"450","1st",0,"male",39.1599179577676,0,0,0,"Southampton","Mr",1
"463","1st",1,"male",39.1599179577676,0,0,39.5999985,"Southampton","Mr",1
"465","1st",0,"male",39.1599179577676,0,0,227.524994,"Cherbourg","Mrs",1
"470","1st",0,"male",39.1599179577676,0,0,50,"Southampton","Miss",1
"484","1st",1,"male",39.1599179577676,0,0,30.5,"Southampton","Mlle",1
"486","1st",1,"male",39.1599179577676,0,0,26,"Southampton","Mrs",1
"501","1st",0,"male",39.1599179577676,0,0,26,"Southampton","Mrs",1
"509","1st",1,"female",39.1599179577676,1,0,146.520798,"Cherbourg","Dr",0
"516","1st",0,"male",39.1599179577676,0,0,27.7208004,"Cherbourg","Mrs",1
"527","1st",1,"female",39.1599179577676,1,0,52,"Southampton","Mr",0
"531","1st",1,"female",39.1599179577676,0,0,79.1999969,"Cherbourg","Mr",1
"555","1st",0,"male",39.1599179577676,0,0,35,"Southampton","Miss",1
"558","1st",1,"male",39.1599179577676,0,0,35.5,"Southampton","Mr",1
"605","2nd",0,"male",29.0053285968028,0,0,0,"Southampton","Mr",1
"622","1st",1,"male",39.1599179577676,0,0,26.5499992,"Southampton","Mr",1
"626","2nd",0,"female",29.0053285968028,0,0,21,"Southampton","Mr",1
"628","2nd",0,"male",29.0053285968028,0,0,0,"Southampton","Master",1
"656","1st",0,"male",39.1599179577676,0,0,39.5999985,"Cherbourg","Mrs",1
"658","2nd",0,"male",29.0053285968028,0,0,0,"Southampton","Miss",1
"722","1st",0,"male",39.1599179577676,0,0,31,"Southampton","Mr",1
"723","2nd",1,"female",29.0053285968028,0,0,12.3500004,"Queenstown","Mr",1
"727","2nd",0,"male",29.0053285968028,0,0,0,"Southampton","Mr",1
"731","2nd",0,"male",29.0053285968028,0,0,10.7082996,"Queenstown","Miss",1
"738","2nd",1,"female",29.0053285968028,0,0,33,"Southampton","Mrs",1
"747","2nd",0,"male",29.0053285968028,0,0,15.0458002,"Cherbourg","Master",1
"751","2nd",0,"male",29.0053285968028,0,0,15.5791998,"Cherbourg","Mr",1
"784","2nd",1,"male",29.0053285968028,0,0,13.8625002,"Cherbourg","Dr",1
"788","2nd",0,"male",29.0053285968028,0,0,0,"Southampton","Mrs",1
"792","2nd",0,"male",29.0053285968028,0,0,15.0500002,"Cherbourg","Rev",1
"847","2nd",0,"male",29.0053285968028,0,0,0,"Southampton","Miss",1
"862","2nd",0,"male",29.0053285968028,0,0,12.875,"Southampton","Mr",1
"864","2nd",1,"male",29.0053285968028,0,0,13,"Southampton","Miss",1
"867","1st",1,"female",39.1599179577676,0,0,27.7208004,"Cherbourg","Mr",1
"948","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"957","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Mrs",1
"958","3rd",0,"female",17.3494475138122,0,2,15.2458,"Cherbourg","Miss",0
"959","3rd",0,"female",17.3494475138122,0,2,7.75,"Queenstown","Mr",0
"978","1st",1,"female",39.1599179577676,0,1,55,"Southampton","Mr",0
"985","3rd",0,"male",29.0053285968028,1,0,14.4582996,"Cherbourg","Mrs",0
"986","3rd",0,"female",29.0053285968028,1,0,14.4582996,"Cherbourg","Mr",0
"989","1st",0,"male",39.1599179577676,0,0,0,"Southampton","Mr",1
"1033","1st",0,"male",39.1599179577676,0,0,52,"Southampton","Mr",1
"1041","3rd",0,"male",29.0053285968028,1,0,16.1000004,"Southampton","Mrs",0
"1042","3rd",1,"female",29.0053285968028,1,0,16.1000004,"Southampton","Mr",0
"1053","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"1054","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"1062","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"1078","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Mr",1
"1084","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Mr",1
"1087","3rd",1,"male",29.0053285968028,0,0,7.05000019,"Southampton","Mr",1
"1091","3rd",0,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1092","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1093","3rd",0,"male",29.0053285968028,0,0,6.94999981,"Queenstown","Mr",1
"1095","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1096","3rd",1,"male",29.0053285968028,0,0,56.4958,"Southampton","Miss",1
"1099","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"1100","1st",0,"male",39.1599179577676,0,0,26.5499992,"Southampton","Capt",1
"1104","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1105","3rd",0,"male",29.0053285968028,0,0,7.25,"Southampton","Mr",1
"1107","3rd",0,"male",29.0053285968028,0,0,14.5,"Southampton","Mr",1
"1108","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Cherbourg","Mr",1
"1112","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Master",1
"1129","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"1137","3rd",0,"male",29.0053285968028,1,0,19.9666996,"Southampton","Mr",0
"1138","3rd",0,"male",29.0053285968028,1,0,19.9666996,"Southampton","Mr",0
"1148","3rd",0,"female",29.0053285968028,0,0,7.55000019,"Southampton","Mr",1
"1150","3rd",0,"male",29.0053285968028,0,0,6.85830021,"Queenstown","Mr",1
"1152","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1154","3rd",1,"male",29.0053285968028,0,0,56.4958,"Southampton","Miss",1
"1162","3rd",0,"female",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"1169","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"1170","3rd",1,"female",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"1172","3rd",1,"male",29.0053285968028,0,0,7.88749981,"Southampton","Mr",1
"1174","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Miss",1
"1178","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"1181","3rd",0,"male",29.0053285968028,0,0,7.05000019,"Southampton","Mr",1
"1185","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1186","3rd",1,"male",29.0053285968028,0,0,8.11250019,"Southampton","Mr",1
"1202","3rd",0,"male",17.3494475138122,1,2,23.4500008,"Southampton","Miss",0
"1203","3rd",0,"female",17.3494475138122,1,2,23.4500008,"Southampton","Mr",0
"1204","3rd",0,"male",17.3494475138122,1,2,23.4500008,"Southampton","Mrs",0
"1205","3rd",0,"female",17.3494475138122,1,2,23.4500008,"Southampton","Mr",0
"1221","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"1224","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1225","3rd",0,"male",29.0053285968028,0,0,7.25,"Southampton","Miss",1
"1226","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Miss",1
"1227","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1230","3rd",1,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1231","3rd",0,"male",29.0053285968028,1,0,14.4541998,"Cherbourg","Mrs",0
"1232","3rd",0,"female",29.0053285968028,1,0,14.4541998,"Cherbourg","Mr",0
"1234","3rd",0,"male",29.0053285968028,1,0,7.75,"Queenstown","Mr",0
"1235","3rd",0,"male",29.0053285968028,1,0,7.75,"Queenstown","Mr",0
"1236","3rd",0,"male",29.0053285968028,0,0,7.73750019,"Queenstown","Miss",1
"1246","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Cherbourg","Mr",1
"1248","3rd",0,"male",29.0053285968028,0,0,7.2249999,"Cherbourg","Miss",1
"1250","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"1251","3rd",1,"male",29.0053285968028,0,0,56.4958,"Southampton","Mr",1
"1252","3rd",0,"male",29.0053285968028,0,0,56.4958,"Southampton","Miss",1
"1254","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1261","3rd",0,"male",17.3494475138122,3,1,25.4666996,"Southampton","Miss",0
"1262","3rd",0,"female",17.3494475138122,3,1,25.4666996,"Southampton","Miss",0
"1263","3rd",0,"female",17.3494475138122,3,1,25.4666996,"Southampton","Miss",0
"1264","3rd",0,"female",17.3494475138122,3,1,25.4666996,"Southampton","Mrs",0
"1265","3rd",0,"female",37.3529411764706,0,4,25.4666996,"Southampton","Mr",0
"1269","3rd",0,"female",29.0053285968028,1,0,15.5,"Queenstown","Mr",0
"1270","3rd",0,"male",29.0053285968028,1,0,15.5,"Queenstown","Mr",0
"1280","3rd",0,"male",29.0053285968028,0,0,7.87919998,"Queenstown","Mr",1
"1282","3rd",0,"male",29.0053285968028,0,0,7.55000019,"Southampton","Mr",1
"1285","3rd",0,"male",29.0053285968028,0,0,7.87919998,"Southampton","Mr",1
"1292","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Southampton","Mr",1
"1293","3rd",0,"male",29.0053285968028,0,0,7.55000019,"Southampton","Miss",1
"1294","3rd",1,"female",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1297","3rd",0,"female",29.0053285968028,0,0,7.87919998,"Queenstown","Mr",1
"1298","3rd",0,"male",29.0053285968028,0,0,7.75,"Queenstown","Mr",1
"1300","3rd",0,"male",29.0053285968028,0,0,8.05000019,"Southampton","Mr",1
"1302","3rd",1,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Miss",1
"1304","3rd",1,"female",29.0053285968028,0,0,7.73750019,"Queenstown","Mr",1
"1305","3rd",0,"male",29.0053285968028,0,0,7.22919989,"Cherbourg","Mr",1
"1308","3rd",1,"female",29.0053285968028,0,0,7.2249999,"Cherbourg","Mr",1
"1309","3rd",0,"male",29.0053285968028,0,0,7.89580011,"Cherbourg","Miss",1
"1","1st",1,"female",29,0,0,211.337494,"Southampton","Master",1
"2","1st",0,"male",71,0,0,49.5042,"Cherbourg","Col",1
"3","1st",1,"female",48,1,0,39.5999985,"Cherbourg","Sir",0
"12","3rd",1,"female",15,0,0,8.0291996,"Queenstown","Miss",1
"13","3rd",0,"female",35,0,0,7.75,"Queenstown","Mr",1
"14","1st",1,"male",49,1,0,56.9291992,"Cherbourg","Mr",0
"16","3rd",0,"male",24,1,0,16.1000004,"Southampton","Mrs",0
"17","3rd",0,"female",19,1,0,16.1000004,"Southampton","Miss",0
"21","3rd",0,"male",55.5,0,0,8.05000019,"Southampton","Mr",1
"23","3rd",1,"male",21,0,0,7.7750001,"Southampton","Mr",1
"25","1st",0,"male",39,0,0,29.7000008,"Cherbourg","Mrs",1
"26","3rd",0,"male",24,0,0,7.89580011,"Southampton","Mr",1
"27","3rd",0,"male",21,0,0,7.89580011,"Southampton","Mr",1
"28","3rd",0,"male",28,0,0,7.89580011,"Southampton","Mr",1
"31","3rd",0,"male",25,0,0,7.6500001,"Southampton","Master",1
"32","3rd",1,"male",6,0,1,12.4750004,"Southampton","Mrs",0
"33","3rd",1,"female",27,0,1,12.4750004,"Southampton","Mr",0
"36","1st",1,"female",23,0,1,83.1583023,"Cherbourg","Miss",0
"39","3rd",0,"male",34,0,0,8.05000019,"Southampton","Mr",1
"47","1st",1,"female",38,0,0,227.524994,"Cherbourg","Miss",1
"49","3rd",1,"female",24,0,0,7.75,"Queenstown","Mr",1
"54","3rd",0,"male",18,0,0,7.75,"Southampton","Mr",1
"55","3rd",0,"male",22,0,0,7.89580011,"Southampton","Miss",1
"56","3rd",1,"female",15,0,0,7.2249999,"Cherbourg","Miss",1
"57","3rd",1,"female",1,0,2,15.7417002,"Cherbourg","Mr",0
"58","1st",1,"female",54,1,0,78.2667007,"Cherbourg","Miss",0
"59","3rd",1,"male",20,1,1,15.7417002,"Cherbourg","Mrs",0
"60","3rd",1,"female",19,1,1,15.7417002,"Cherbourg","Mr",0
"61","3rd",0,"male",33,0,0,8.05000019,"Southampton","Mr",1
"66","3rd",1,"male",12,1,0,11.2417002,"Cherbourg","Miss",0
"67","3rd",1,"female",14,1,0,11.2417002,"Cherbourg","Miss",0
"68","3rd",0,"female",29,0,0,7.92500019,"Southampton","Mr",1
"69","1st",0,"female",36,0,0,31.6791992,"Cherbourg","Mr",1
"70","3rd",0,"male",28,0,0,8.05000019,"Southampton","Miss",1
"71","3rd",1,"female",18,0,0,7.7750001,"Southampton","Miss",1
"72","3rd",1,"female",26,0,0,7.85419989,"Southampton","Mr",1
"73","3rd",0,"male",21,0,0,7.85419989,"Southampton","Mr",1
"74","3rd",0,"male",41,0,0,7.125,"Southampton","Mr",1
"75","3rd",1,"male",39,0,0,7.92500019,"Southampton","Mr",1
"76","3rd",0,"male",21,0,0,7.80000019,"Southampton","Mr",1
"77","3rd",0,"male",28.5,0,0,7.22919989,"Cherbourg","Miss",1
"78","3rd",1,"female",22,0,0,7.75,"Southampton","Mr",1
"79","3rd",0,"male",61,0,0,6.23750019,"Southampton","Mr",1
"87","3rd",0,"male",23,0,0,9.22500038,"Southampton","Ms",1
"92","3rd",1,"female",22,0,0,7.7750001,"Southampton","Mr",1
"95","3rd",1,"male",9,0,1,3.17079997,"Southampton","Mr",0
"96","3rd",0,"male",28,0,0,22.5249996,"Southampton","Mr",1
"97","3rd",0,"male",42,0,1,8.4041996,"Southampton","Mr",0
"99","3rd",0,"female",31,0,0,7.85419989,"Southampton","Mr",1
"100","3rd",0,"male",28,0,0,7.85419989,"Southampton","Mr",1
"101","3rd",1,"male",32,0,0,7.7750001,"Southampton","Mr",1
"103","3rd",0,"male",20,0,0,9.22500038,"Southampton","Miss",1
"104","3rd",0,"female",23,0,0,8.66250038,"Southampton","Miss",1
"105","3rd",0,"female",20,0,0,8.66250038,"Southampton","Mr",1
"106","3rd",0,"male",20,0,0,8.66250038,"Southampton","Mr",1
"107","3rd",0,"male",16,0,0,9.2166996,"Southampton","Mrs",1
"108","3rd",1,"female",31,0,0,8.68330002,"Southampton","Miss",1
"110","3rd",0,"male",2,3,1,21.0750008,"Southampton","Master",0
"111","3rd",0,"male",6,3,1,21.0750008,"Southampton","Miss",0
"112","3rd",0,"female",3,3,1,21.0750008,"Southampton","Miss",0
"113","1st",0,"male",47,1,0,227.524994,"Cherbourg","Mrs",0
"114","1st",1,"male",36,0,0,26.3875008,"Southampton","Mr",1
"115","3rd",0,"female",8,3,1,21.0750008,"Southampton","Mrs",0
"116","3rd",0,"female",29,0,4,21.0750008,"Southampton","Master",0
"117","3rd",0,"male",1,4,1,39.6875,"Southampton","Master",0
"118","3rd",0,"male",7,4,1,39.6875,"Southampton","Master",0
"119","3rd",0,"male",2,4,1,39.6875,"Southampton","Mr",0
"120","3rd",0,"male",16,4,1,39.6875,"Southampton","Mr",0
"121","3rd",0,"male",14,4,1,39.6875,"Southampton","Mrs",0
"122","3rd",0,"female",41,0,5,39.6875,"Southampton","Mr",0
"123","3rd",0,"male",21,0,0,8.66250038,"Southampton","Mr",1
"124","3rd",0,"male",19,0,0,14.5,"Southampton","Mr",1
"125","1st",0,"male",30,0,0,27.75,"Cherbourg","Miss",1
"127","3rd",0,"male",32,0,0,7.89580011,"Southampton","Master",1
"128","3rd",0,"male",0.75,1,1,13.7749996,"Southampton","Miss",0
"129","3rd",0,"female",3,1,1,13.7749996,"Southampton","Mrs",0
"130","3rd",0,"female",26,0,2,13.7749996,"Southampton","Mr",0
"134","3rd",0,"male",21,0,0,7.92500019,"Southampton","Mr",1
"135","3rd",0,"male",25,0,0,7.92500019,"Southampton","Mr",1
